Location,Area,BHK,Bathrooms,Property Age,Furnishing Status,Amenities,Price,price_per_sqft,property_age_group,luxury_score
Rajajinagar,1554,3,3,7,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Power Backup, Swimming Pool",14730000.0,9478.76,Modern (4-10 yrs),5.18
Thanisandra,3867,5,5,4,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Jogging Track, Landscaped Garden, Tennis Court",26270000.0,6793.38,Modern (4-10 yrs),5.09
Whitefield,1872,3,3,12,Furnished,"Intercom, Power Backup",11220000.0,5993.59,Established (11-20 yrs),1.16
Thanisandra,1526,3,2,3,Semi-Furnished,"Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Tennis Court",10040000.0,6579.29,New (0-3 yrs),4.73
Sarjapur Road,1218,2,2,13,Furnished,"Clubhouse, Covered Parking, Swimming Pool, Tennis Court",7240000.0,5944.17,Established (11-20 yrs),4.38
Sarjapur Road,1438,3,2,3,Semi-Furnished,"24/7 Security, High-Speed Elevators, Jogging Track",10600000.0,7371.35,New (0-3 yrs),2.14
Sarjapur Road,1201,2,1,17,Semi-Furnished,"24/7 Security, Covered Parking, Gym, Swimming Pool, Tennis Court",7130000.0,5936.72,Established (11-20 yrs),4.91
Bellandur,1105,2,2,13,Semi-Furnished,"24/7 Security, High-Speed Elevators, Intercom, Tennis Court",8830000.0,7990.95,Established (11-20 yrs),3.3
Bellandur,1200,2,2,13,Semi-Furnished,"Children's Play Area, Covered Parking, High-Speed Elevators, Intercom, Power Backup, Tennis Court",8040000.0,6700.0,Established (11-20 yrs),4.64
Sarjapur Road,558,1,1,6,Semi-Furnished,"Covered Parking, Intercom, Swimming Pool",3420000.0,6129.03,Modern (4-10 yrs),2.5
Indiranagar,1670,3,2,13,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Landscaped Garden",19880000.0,11904.19,Established (11-20 yrs),2.86
Jayanagar,815,2,2,0,Semi-Furnished,"24/7 Security, Gym, Jogging Track",9150000.0,11226.99,New (0-3 yrs),2.14
Bellandur,1443,3,3,1,Furnished,"24/7 Security, Power Backup, Tennis Court",11690000.0,8101.18,New (0-3 yrs),2.68
Thanisandra,1306,3,2,0,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool",9450000.0,7235.83,New (0-3 yrs),6.25
Hebbal,1101,2,2,0,Semi-Furnished,"24/7 Security, Children's Play Area, Gym, Jogging Track, Swimming Pool",9510000.0,8637.6,New (0-3 yrs),4.11
Sarjapur Road,1273,2,2,15,Furnished,"Children's Play Area, Covered Parking, Jogging Track",8470000.0,6653.57,Established (11-20 yrs),1.88
Hebbal,3901,5,4,15,Unfurnished,"Children's Play Area, Gym, Intercom, Tennis Court",34580000.0,8864.39,Established (11-20 yrs),3.21
Sarjapur Road,2025,3,2,8,Semi-Furnished,"24/7 Security, Children's Play Area, Gym, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",14390000.0,7106.17,Modern (4-10 yrs),6.34
Marathahalli,1300,3,2,0,Furnished,"High-Speed Elevators, Jogging Track, Landscaped Garden, Swimming Pool",7280000.0,5600.0,New (0-3 yrs),3.57
Bellandur,1101,2,2,1,Semi-Furnished,"24/7 Security, Covered Parking, Tennis Court",9240000.0,8392.37,New (0-3 yrs),2.68
Hebbal,2100,4,3,11,Semi-Furnished,"24/7 Security, Intercom, Jogging Track, Tennis Court",16970000.0,8080.95,Established (11-20 yrs),2.95
Rajajinagar,1581,3,2,0,Semi-Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Intercom, Landscaped Garden",18840000.0,11916.51,New (0-3 yrs),3.93
Marathahalli,1026,2,2,13,Furnished,"Children's Play Area, Jogging Track",5750000.0,5604.29,Established (11-20 yrs),1.16
HSR Layout,2143,4,3,23,Furnished,"24/7 Security, Children's Play Area, Covered Parking, Gym, Landscaped Garden, Power Backup, Tennis Court",21190000.0,9888.01,Old (20+ yrs),5.71
Rajajinagar,3966,5,5,2,Semi-Furnished,"High-Speed Elevators, Landscaped Garden",45890000.0,11570.85,New (0-3 yrs),1.7
Malleshwaram,1194,2,2,2,Semi-Furnished,"Clubhouse, Covered Parking, Intercom, Jogging Track, Landscaped Garden, Swimming Pool",12320000.0,10318.26,New (0-3 yrs),4.91
HSR Layout,648,1,1,6,Furnished,"24/7 Security, Children's Play Area, Covered Parking, Jogging Track, Power Backup, Tennis Court",6190000.0,9552.47,Modern (4-10 yrs),4.55
Hebbal,935,2,2,2,Unfurnished,"Covered Parking, High-Speed Elevators, Intercom, Jogging Track",7330000.0,7839.57,New (0-3 yrs),2.59
Thanisandra,2499,4,4,5,Semi-Furnished,"Children's Play Area, Intercom, Tennis Court",15670000.0,6270.51,Modern (4-10 yrs),2.32
Koramangala,1475,3,2,17,Furnished,"Covered Parking, Gym, Intercom, Landscaped Garden",16600000.0,11254.24,Established (11-20 yrs),2.86
Malleshwaram,942,2,2,5,Semi-Furnished,"High-Speed Elevators, Jogging Track, Landscaped Garden, Tennis Court",10550000.0,11199.58,Modern (4-10 yrs),3.48
Koramangala,1943,3,3,9,Unfurnished,"24/7 Security, Clubhouse, High-Speed Elevators, Jogging Track, Swimming Pool",22870000.0,11770.46,Modern (4-10 yrs),4.55
HSR Layout,1453,3,3,25,Semi-Furnished,"24/7 Security, Jogging Track, Landscaped Garden, Tennis Court",12730000.0,8761.18,Old (20+ yrs),3.3
Bellandur,1674,3,2,1,Semi-Furnished,"Clubhouse, High-Speed Elevators, Jogging Track, Swimming Pool",13390000.0,7998.81,New (0-3 yrs),3.84
Rajajinagar,1210,2,2,7,Semi-Furnished,"Clubhouse, Jogging Track, Swimming Pool",11430000.0,9446.28,Modern (4-10 yrs),2.95
Malleshwaram,572,1,1,13,Semi-Furnished,"24/7 Security, Clubhouse, Landscaped Garden, Swimming Pool",4700000.0,8216.78,Established (11-20 yrs),3.93
Malleshwaram,1736,3,3,1,Semi-Furnished,"Clubhouse, High-Speed Elevators, Landscaped Garden, Power Backup, Swimming Pool",19510000.0,11238.48,New (0-3 yrs),4.82
Koramangala,1448,3,2,18,Unfurnished,"Children's Play Area, Gym, Jogging Track, Landscaped Garden, Tennis Court",12650000.0,8736.19,Established (11-20 yrs),4.11
Hebbal,2347,4,3,19,Semi-Furnished,"Jogging Track, Swimming Pool",19310000.0,8227.52,Established (11-20 yrs),1.88
Yelahanka,544,1,1,0,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Intercom, Swimming Pool, Tennis Court",3010000.0,5533.09,New (0-3 yrs),4.55
Bellandur,621,1,1,4,Furnished,"24/7 Security, Gym, Landscaped Garden, Power Backup, Tennis Court",4940000.0,7954.91,Modern (4-10 yrs),4.38
Koramangala,983,2,1,3,Semi-Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Swimming Pool",11080000.0,11271.62,New (0-3 yrs),4.38
Banashankari,1089,2,1,15,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Intercom",6580000.0,6042.24,Established (11-20 yrs),2.5
HSR Layout,1759,3,3,11,Semi-Furnished,"Children's Play Area, Clubhouse, Intercom, Landscaped Garden, Tennis Court",13980000.0,7947.7,Established (11-20 yrs),4.2
Thanisandra,1170,2,2,8,Unfurnished,"Power Backup, Swimming Pool",6410000.0,5478.63,Modern (4-10 yrs),2.05
Marathahalli,4471,5,4,9,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Gym, High-Speed Elevators, Intercom, Landscaped Garden, Power Backup",30460000.0,6812.79,Modern (4-10 yrs),6.25
Marathahalli,1030,2,2,16,Semi-Furnished,"24/7 Security, Gym, Intercom, Landscaped Garden, Swimming Pool",5910000.0,5737.86,Established (11-20 yrs),4.2
Electronic City,618,1,1,2,Unfurnished,"Children's Play Area, Clubhouse",2930000.0,4741.1,New (0-3 yrs),1.7
Whitefield,2706,4,3,4,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, Swimming Pool",15710000.0,5805.62,Modern (4-10 yrs),3.75
HSR Layout,564,1,1,2,Semi-Furnished,"Gym, Intercom, Landscaped Garden, Swimming Pool, Tennis Court",4690000.0,8315.6,New (0-3 yrs),4.73
Sarjapur Road,695,1,1,9,Furnished,"Jogging Track, Landscaped Garden, Power Backup, Swimming Pool",3920000.0,5640.29,Modern (4-10 yrs),3.39
Koramangala,1695,3,2,14,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Power Backup",18890000.0,11144.54,Established (11-20 yrs),4.91
Electronic City,1446,3,3,11,Semi-Furnished,"Covered Parking, Gym, Jogging Track",6400000.0,4426.0,Established (11-20 yrs),2.14
Banashankari,3985,5,4,5,Semi-Furnished,"24/7 Security, Children's Play Area, Jogging Track, Landscaped Garden, Swimming Pool",32430000.0,8138.02,Modern (4-10 yrs),4.02
Koramangala,580,1,1,1,Semi-Furnished,"24/7 Security, Clubhouse",7590000.0,13086.21,New (0-3 yrs),1.79
Banashankari,1759,3,3,5,Furnished,"Children's Play Area, High-Speed Elevators, Intercom, Power Backup, Tennis Court",14690000.0,8351.34,Modern (4-10 yrs),3.93
Jayanagar,598,1,1,4,Semi-Furnished,"Covered Parking, Power Backup",6180000.0,10334.45,Modern (4-10 yrs),1.43
Indiranagar,735,1,1,7,Unfurnished,"24/7 Security, Clubhouse, Covered Parking, High-Speed Elevators, Jogging Track, Power Backup",7630000.0,10380.95,Modern (4-10 yrs),4.64
HSR Layout,1301,3,2,1,Semi-Furnished,"24/7 Security, Clubhouse, Intercom, Jogging Track, Power Backup, Swimming Pool",12060000.0,9269.79,New (0-3 yrs),4.82
Marathahalli,1904,3,3,0,Furnished,"24/7 Security, Covered Parking, Gym, Intercom, Landscaped Garden",13480000.0,7079.83,New (0-3 yrs),3.57
Sarjapur Road,1141,2,2,3,Semi-Furnished,"24/7 Security, Gym, Jogging Track, Power Backup, Swimming Pool, Tennis Court",6490000.0,5687.99,New (0-3 yrs),5.45
Bellandur,628,1,1,1,Furnished,"Children's Play Area, Intercom, Landscaped Garden, Power Backup",5590000.0,8901.27,New (0-3 yrs),2.59
Marathahalli,1231,2,2,8,Semi-Furnished,"Landscaped Garden, Tennis Court",7230000.0,5873.27,Modern (4-10 yrs),2.05
Electronic City,1271,2,2,4,Unfurnished,"Intercom, Jogging Track, Power Backup, Swimming Pool",6250000.0,4917.39,Modern (4-10 yrs),3.04
Koramangala,3852,5,5,8,Semi-Furnished,"Clubhouse, Intercom, Jogging Track, Landscaped Garden",58810000.0,15267.39,Modern (4-10 yrs),2.86
Electronic City,959,2,2,21,Furnished,"Children's Play Area, Covered Parking, Jogging Track, Landscaped Garden",3330000.0,3472.37,Old (20+ yrs),2.68
Electronic City,3353,4,4,6,Semi-Furnished,"Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Jogging Track",15920000.0,4747.99,Modern (4-10 yrs),3.66
Yelahanka,1359,3,3,13,Furnished,"Covered Parking, Landscaped Garden",9230000.0,6791.76,Established (11-20 yrs),1.52
HSR Layout,947,2,2,8,Unfurnished,"Children's Play Area, Covered Parking, Jogging Track, Power Backup, Tennis Court",7610000.0,8035.9,Modern (4-10 yrs),3.84
Indiranagar,587,1,1,0,Furnished,"Clubhouse, Covered Parking, Gym, Swimming Pool",6580000.0,11209.54,New (0-3 yrs),4.02
Jayanagar,926,2,2,0,Semi-Furnished,"Children's Play Area, Intercom, Landscaped Garden, Power Backup",11200000.0,12095.03,New (0-3 yrs),2.59
Whitefield,1173,2,2,1,Semi-Furnished,"Children's Play Area, Intercom, Landscaped Garden, Power Backup, Tennis Court",8060000.0,6871.27,New (0-3 yrs),3.84
Whitefield,982,2,2,1,Semi-Furnished,"24/7 Security, Clubhouse, High-Speed Elevators, Intercom, Power Backup, Swimming Pool",4850000.0,4938.9,New (0-3 yrs),5.18
HSR Layout,906,2,2,10,Unfurnished,"24/7 Security, Children's Play Area, Gym",7020000.0,7748.34,Modern (4-10 yrs),2.23
Marathahalli,1708,3,2,0,Unfurnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Landscaped Garden, Power Backup",10680000.0,6252.93,New (0-3 yrs),4.11
Sarjapur Road,1059,2,2,2,Furnished,"24/7 Security, Gym, High-Speed Elevators, Jogging Track, Swimming Pool",7730000.0,7299.34,New (0-3 yrs),4.38
Jayanagar,1300,3,3,0,Semi-Furnished,"Clubhouse, Intercom, Swimming Pool",14360000.0,11046.15,New (0-3 yrs),2.86
Whitefield,861,2,1,1,Semi-Furnished,"Covered Parking, High-Speed Elevators, Landscaped Garden, Swimming Pool",4650000.0,5400.7,New (0-3 yrs),3.75
Whitefield,1527,3,2,2,Semi-Furnished,"24/7 Security, Clubhouse, High-Speed Elevators, Intercom, Landscaped Garden, Tennis Court",10120000.0,6627.37,New (0-3 yrs),5.18
Bellandur,863,2,2,1,Semi-Furnished,"24/7 Security, Clubhouse, Gym, High-Speed Elevators, Intercom, Tennis Court",7660000.0,8876.01,New (0-3 yrs),5.27
Bellandur,597,1,1,8,Furnished,"Covered Parking, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Swimming Pool",4140000.0,6934.67,Modern (4-10 yrs),5.18
Bellandur,2856,4,3,4,Furnished,"Children's Play Area, Gym, Power Backup",25030000.0,8764.01,Modern (4-10 yrs),2.23
Thanisandra,1099,2,1,3,Semi-Furnished,"Clubhouse, Intercom, Swimming Pool, Tennis Court",5830000.0,5304.82,New (0-3 yrs),4.11
Indiranagar,1069,2,2,1,Semi-Furnished,"Clubhouse, Covered Parking, Swimming Pool, Tennis Court",14650000.0,13704.4,New (0-3 yrs),4.38
Koramangala,1683,3,2,27,Semi-Furnished,"24/7 Security, Clubhouse, Gym, Landscaped Garden",15700000.0,9328.58,Old (20+ yrs),3.48
Jayanagar,1669,3,2,0,Unfurnished,"Clubhouse, Covered Parking, Tennis Court",18660000.0,11180.35,New (0-3 yrs),3.04
Electronic City,1701,3,2,18,Semi-Furnished,"Clubhouse, Covered Parking, Landscaped Garden, Power Backup",7920000.0,4656.08,Established (11-20 yrs),3.3
Marathahalli,1793,3,2,7,Furnished,"24/7 Security, Covered Parking, Gym, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool",12000000.0,6692.69,Modern (4-10 yrs),5.71
Hebbal,917,2,2,1,Unfurnished,"Clubhouse, Swimming Pool",7570000.0,8255.18,New (0-3 yrs),2.41
Koramangala,875,2,2,9,Furnished,"Covered Parking, High-Speed Elevators, Swimming Pool, Tennis Court",10210000.0,11668.57,Modern (4-10 yrs),4.2
Electronic City,654,1,1,3,Semi-Furnished,"Children's Play Area, Clubhouse, Gym, Jogging Track",2960000.0,4525.99,New (0-3 yrs),3.12
Whitefield,1640,3,2,2,Furnished,"24/7 Security, Clubhouse, Tennis Court",9330000.0,5689.02,New (0-3 yrs),3.04
Bellandur,2127,3,2,0,Furnished,"Clubhouse, High-Speed Elevators, Landscaped Garden",17030000.0,8006.58,New (0-3 yrs),2.77
Marathahalli,1400,3,2,2,Semi-Furnished,"24/7 Security, Gym, Jogging Track",10360000.0,7400.0,New (0-3 yrs),2.14
Whitefield,1871,3,2,23,Semi-Furnished,"24/7 Security, Landscaped Garden, Swimming Pool",8570000.0,4580.44,Old (20+ yrs),2.86
Whitefield,850,2,2,4,Furnished,"Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Intercom, Swimming Pool, Tennis Court",5490000.0,6458.82,Modern (4-10 yrs),6.52
Jayanagar,2047,3,3,0,Semi-Furnished,"24/7 Security, High-Speed Elevators, Swimming Pool, Tennis Court",24780000.0,12105.52,New (0-3 yrs),4.2
Whitefield,1986,3,3,5,Semi-Furnished,"Children's Play Area, Jogging Track, Power Backup",11710000.0,5896.27,Modern (4-10 yrs),1.88
Sarjapur Road,650,1,1,2,Unfurnished,"Children's Play Area, Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",4210000.0,6476.92,New (0-3 yrs),4.55
Banashankari,908,2,2,26,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Intercom, Jogging Track, Landscaped Garden, Swimming Pool",5860000.0,6453.74,Old (20+ yrs),5.18
Hebbal,1983,3,3,3,Unfurnished,"Gym, High-Speed Elevators, Intercom",15860000.0,7997.98,New (0-3 yrs),2.23
Jayanagar,1466,3,3,21,Semi-Furnished,"Covered Parking, Gym, Jogging Track",15670000.0,10688.95,Old (20+ yrs),2.14
Koramangala,1876,3,2,12,Semi-Furnished,"Gym, Landscaped Garden, Power Backup",23160000.0,12345.42,Established (11-20 yrs),2.41
Whitefield,1529,3,2,2,Semi-Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Intercom, Landscaped Garden",8790000.0,5748.86,New (0-3 yrs),3.93
Bellandur,3100,5,5,1,Semi-Furnished,"Clubhouse, Jogging Track, Landscaped Garden, Power Backup",32490000.0,10480.65,New (0-3 yrs),3.12
Electronic City,1617,3,2,17,Semi-Furnished,"Landscaped Garden, Power Backup",6820000.0,4217.69,Established (11-20 yrs),1.52
Electronic City,2384,4,4,11,Semi-Furnished,"Clubhouse, Intercom, Tennis Court",11360000.0,4765.1,Established (11-20 yrs),2.77
Indiranagar,3189,5,4,8,Furnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Power Backup, Swimming Pool",49510000.0,15525.24,Modern (4-10 yrs),6.25
Malleshwaram,1117,2,2,0,Unfurnished,"24/7 Security, Clubhouse, High-Speed Elevators, Jogging Track",12700000.0,11369.74,New (0-3 yrs),3.21
Koramangala,529,1,1,3,Unfurnished,"24/7 Security, Jogging Track, Power Backup, Swimming Pool, Tennis Court",5730000.0,10831.76,New (0-3 yrs),4.55
Whitefield,1641,3,3,2,Semi-Furnished,"Intercom, Swimming Pool",9070000.0,5527.12,New (0-3 yrs),1.79
Koramangala,1051,2,2,1,Semi-Furnished,"24/7 Security, High-Speed Elevators, Intercom, Jogging Track, Power Backup, Swimming Pool",14330000.0,13634.63,New (0-3 yrs),4.64
Banashankari,1098,2,2,4,Semi-Furnished,"Clubhouse, Jogging Track, Landscaped Garden",7510000.0,6839.71,Modern (4-10 yrs),2.41
Whitefield,694,1,1,0,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Gym, High-Speed Elevators, Power Backup, Tennis Court",4350000.0,6268.01,New (0-3 yrs),6.25
Jayanagar,1601,3,2,1,Semi-Furnished,"Clubhouse, Covered Parking, Gym, Jogging Track",17610000.0,10999.38,New (0-3 yrs),3.21
Marathahalli,1006,2,2,0,Furnished,"24/7 Security, Covered Parking, Gym, Intercom, Landscaped Garden, Swimming Pool",6750000.0,6709.74,New (0-3 yrs),4.91
Bellandur,955,2,2,7,Unfurnished,"24/7 Security, Children's Play Area, Gym, Intercom, Landscaped Garden, Swimming Pool",6850000.0,7172.77,Modern (4-10 yrs),4.82
Marathahalli,639,1,1,16,Semi-Furnished,"Children's Play Area, Covered Parking, Jogging Track, Landscaped Garden",3530000.0,5524.26,Established (11-20 yrs),2.68
Whitefield,922,2,2,18,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Landscaped Garden, Power Backup, Tennis Court",4740000.0,5141.0,Established (11-20 yrs),4.29
Whitefield,811,2,1,5,Semi-Furnished,"Covered Parking, Jogging Track",3730000.0,4599.26,Modern (4-10 yrs),1.25
Thanisandra,2543,4,4,3,Furnished,"24/7 Security, Clubhouse, Covered Parking, Gym, Intercom, Swimming Pool, Tennis Court",20220000.0,7951.24,New (0-3 yrs),6.43
Jayanagar,1313,2,2,1,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Intercom, Jogging Track, Tennis Court",15860000.0,12079.21,New (0-3 yrs),4.64
Marathahalli,1070,2,2,10,Unfurnished,"Clubhouse, Gym, High-Speed Elevators, Intercom, Swimming Pool",6960000.0,6504.67,Modern (4-10 yrs),4.64
Whitefield,1148,2,2,4,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Gym, Jogging Track, Power Backup, Swimming Pool",6320000.0,5505.23,Modern (4-10 yrs),6.61
Rajajinagar,1433,3,3,2,Furnished,"Covered Parking, Gym, Intercom, Swimming Pool, Tennis Court",14950000.0,10432.66,New (0-3 yrs),4.64
HSR Layout,1204,2,1,11,Unfurnished,"Clubhouse, Covered Parking, Gym, Swimming Pool",10530000.0,8745.85,Established (11-20 yrs),4.02
HSR Layout,1782,3,3,0,Semi-Furnished,"Power Backup, Tennis Court",19060000.0,10695.85,New (0-3 yrs),1.96
Banashankari,927,2,2,17,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Jogging Track, Power Backup, Swimming Pool",6250000.0,6742.18,Established (11-20 yrs),5.45
Indiranagar,1926,3,3,7,Furnished,"24/7 Security, Children's Play Area, Gym, Landscaped Garden, Power Backup, Swimming Pool",29940000.0,15545.17,Modern (4-10 yrs),5.09
Malleshwaram,1679,3,3,0,Semi-Furnished,"Children's Play Area, Tennis Court",18080000.0,10768.31,New (0-3 yrs),1.87
Indiranagar,1380,3,3,7,Semi-Furnished,"Children's Play Area, Clubhouse, Intercom, Jogging Track",18060000.0,13086.96,Modern (4-10 yrs),2.68
Jayanagar,1749,3,2,7,Semi-Furnished,"Covered Parking, Gym, Jogging Track, Landscaped Garden, Swimming Pool",23490000.0,13430.53,Modern (4-10 yrs),4.29
Sarjapur Road,1300,3,3,6,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Landscaped Garden, Swimming Pool, Tennis Court",9610000.0,7392.31,Modern (4-10 yrs),6.25
Bellandur,1472,3,3,3,Semi-Furnished,"Covered Parking, Landscaped Garden",11890000.0,8077.45,New (0-3 yrs),1.52
Indiranagar,1128,2,2,17,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Gym, Landscaped Garden, Power Backup, Tennis Court",11910000.0,10558.51,Established (11-20 yrs),6.79
Whitefield,2100,4,3,17,Semi-Furnished,"Children's Play Area, Covered Parking, High-Speed Elevators, Intercom",12400000.0,5904.76,Established (11-20 yrs),2.68
Sarjapur Road,2470,4,3,10,Semi-Furnished,"Landscaped Garden, Swimming Pool",18230000.0,7380.57,Modern (4-10 yrs),2.14
Rajajinagar,1054,2,2,2,Semi-Furnished,"24/7 Security, Intercom, Jogging Track, Power Backup",9870000.0,9364.33,New (0-3 yrs),2.41
Indiranagar,965,2,2,14,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Power Backup",9580000.0,9927.46,Established (11-20 yrs),3.12
Bellandur,2326,4,4,14,Unfurnished,"Clubhouse, Covered Parking, High-Speed Elevators, Landscaped Garden, Tennis Court",19760000.0,8495.27,Established (11-20 yrs),4.73
Whitefield,949,2,1,10,Furnished,"Clubhouse, Jogging Track, Landscaped Garden, Tennis Court",4860000.0,5121.18,Modern (4-10 yrs),3.66
Banashankari,844,2,2,6,Semi-Furnished,"Gym, Landscaped Garden, Power Backup, Swimming Pool",5600000.0,6635.07,Modern (4-10 yrs),3.75
Sarjapur Road,3308,4,3,2,Semi-Furnished,"Children's Play Area, Clubhouse, Tennis Court",26380000.0,7974.61,New (0-3 yrs),2.95
Thanisandra,1157,2,1,1,Semi-Furnished,"24/7 Security, Children's Play Area, Gym, Intercom, Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",8150000.0,7044.08,New (0-3 yrs),6.61
